map_id,label,seed,grid_size,num_blobs,num_chokepoints,valid_runs,sp_mean,our_mean,improvement_pct,win_pct
6,standard_12x12,3006,12,4,20,200,57.45,27.96,51.33,98.5
39,dense_cp_12x12,3039,12,4,23,200,60.21,29.80,50.51,89.0
127,lowblock_16x16,3127,16,6,21,175,75.98,53.81,29.18,68.0
101,lowblock_12x12,3101,12,6,18,200,35.90,26.26,26.85,95.5
50,standard_14x14,3050,14,5,18,200,83.13,62.82,24.43,69.5
67,dense_cp_14x14,3067,14,5,21,200,69.65,55.66,20.09,75.0
99,dense_cp_16x16,3099,16,5,24,200,70.70,61.35,13.22,52.0
91,standard_16x16,3091,16,6,23,200,117.19,102.23,12.77,49.0
94,dense_cp_16x16,3094,16,4,24,200,42.89,37.74,12.01,71.5
126,lowblock_16x16,3126,16,6,21,200,41.49,36.91,11.04,47.5
112,lowblock_14x14,3112,14,4,18,200,45.24,40.49,10.50,36.0
102,lowblock_12x12,3102,12,5,19,200,33.61,30.70,8.66,68.0
51,standard_14x14,3051,14,6,20,200,47.39,43.58,8.04,35.0
140,five_blobs_14x14,3140,14,6,18,200,79.85,74.94,6.15,61.0
87,standard_16x16,3087,16,6,21,200,59.94,56.32,6.04,19.5
54,standard_14x14,3054,14,5,18,200,57.60,54.62,5.17,40.0
42,dense_cp_12x12,3042,12,4,23,200,64.57,61.34,5.00,38.0
93,dense_cp_16x16,3093,16,7,26,200,58.96,56.08,4.88,29.0
139,five_blobs_14x14,3139,14,5,20,200,43.24,43.19,0.12,55.0
9,standard_12x12,3009,12,3,18,200,37.66,37.66,0.00,0.0
11,standard_12x12,3011,12,5,18,200,34.58,34.58,0.00,0.0
60,standard_14x14,3060,14,6,18,131,57.97,57.97,0.00,0.0
61,dense_cp_14x14,3061,14,5,22,200,56.21,56.21,0.00,0.0
66,dense_cp_14x14,3066,14,7,21,200,33.35,33.35,0.00,0.0
68,dense_cp_14x14,3068,14,5,21,200,44.78,44.78,0.00,0.0
75,standard_16x16,3075,16,5,21,200,100.12,100.12,0.00,0.0
95,dense_cp_16x16,3095,16,5,24,200,43.49,43.49,0.00,0.0
113,lowblock_14x14,3113,14,8,18,200,37.57,37.57,0.00,0.0
128,lowblock_16x16,3128,16,7,21,200,54.60,54.60,0.00,0.0
134,five_blobs_14x14,3134,14,5,18,200,49.12,49.12,0.00,0.0
136,five_blobs_14x14,3136,14,6,20,200,39.41,39.41,0.00,0.0
124,lowblock_16x16,3124,16,6,21,200,86.51,87.87,-1.57,0.0
130,lowblock_16x16,3130,16,5,23,200,59.51,60.85,-2.25,25.0
118,lowblock_14x14,3118,14,4,18,200,59.59,62.28,-4.51,23.5
47,dense_cp_12x12,3047,12,5,23,200,44.59,46.87,-5.11,1.5
15,dense_cp_12x12,3015,12,6,22,200,55.86,58.73,-5.14,24.0
86,standard_16x16,3086,16,6,21,200,41.60,43.88,-5.48,0.0
108,lowblock_12x12,3108,12,5,18,200,31.22,33.55,-7.46,0.0
13,standard_12x12,3013,12,6,18,200,30.70,33.12,-7.88,0.0
100,lowblock_12x12,3100,12,4,18,200,39.62,43.48,-9.74,5.5
119,lowblock_14x14,3119,14,8,19,200,36.14,39.90,-10.40,0.0
57,standard_14x14,3057,14,5,20,200,47.73,53.99,-13.12,4.5
110,lowblock_14x14,3110,14,5,18,200,40.35,46.45,-15.12,11.5
31,dense_cp_12x12,3031,12,7,23,200,30.10,36.08,-19.87,0.0
98,dense_cp_16x16,3098,16,6,26,200,45.19,54.89,-21.46,0.0
82,standard_16x16,3082,16,5,23,200,49.25,59.83,-21.48,12.5
71,dense_cp_14x14,3071,14,5,21,200,43.82,55.44,-26.52,0.0
133,five_blobs_14x14,3133,14,4,20,200,37.30,47.97,-28.61,21.5
106,lowblock_12x12,3106,12,5,20,200,32.02,42.45,-32.57,0.0
12,standard_12x12,3012,12,4,18,200,38.54,54.71,-41.96,0.0
