run_idx,num_blocked_ovals,sp_cost,our_cost,sp_runtime,our_runtime
0,1,149.7064,157.6413,0.8704,6.6357
1,2,150.9829,159.3204,2.0239,2.9924
2,1,157.8454,149.6460,2.7080,2.7379
3,1,148.8920,159.3204,1.2429,5.1102
4,1,148.8920,152.0767,1.2056,9.2078
5,1,149.7064,157.6413,1.0988,7.2985
6,2,150.9829,159.3204,2.0134,3.7066
7,2,153.9030,157.6413,2.2164,5.1657
8,3,165.1740,168.9123,2.5025,10.9817
9,2,159.0965,152.0767,4.3113,8.9562
10,2,159.0965,150.8970,4.3011,6.1137
11,1,148.8920,150.8970,1.2832,4.4633
12,3,165.1740,169.1777,2.5688,20.4676
13,2,150.9829,156.7658,1.9922,7.4760
14,1,157.8454,148.0494,2.7389,3.2573
15,3,165.1740,168.9123,2.4947,11.2199
16,3,165.1740,159.3204,2.3190,8.3678
17,1,157.8454,150.8257,2.7190,4.0927
18,3,165.1740,168.9123,2.2578,12.3225
19,1,157.8454,150.4899,2.7175,3.9699
20,2,153.9030,148.0494,2.2558,2.6767
21,2,159.0965,150.8970,3.9581,9.5476
22,1,149.7064,157.6413,1.0926,11.0880
23,3,165.1740,159.3204,2.5118,5.3703
24,3,165.1740,168.9123,2.4987,11.8920
25,0,147.6155,150.9183,0.2472,2.7547
26,2,153.9030,148.0494,2.1622,2.2531
27,2,150.9829,168.9123,1.9619,8.8639
28,0,147.6155,149.6460,0.0602,1.6197
29,2,153.9030,148.0494,2.1900,4.5652
30,1,149.7064,157.6413,1.0376,8.1332
31,0,147.6155,149.6460,0.2985,3.0181
32,1,149.7064,157.6413,1.0314,7.7379
33,1,157.8454,148.0494,3.1288,2.9340
34,2,150.9829,168.9123,2.0688,12.4105
35,0,147.6155,148.0494,0.2448,1.5330
36,1,149.7064,157.6413,0.8436,7.7057
37,1,157.8454,149.6460,2.5584,2.2815
38,1,148.8920,159.3204,1.1032,3.7450
39,2,153.9030,148.0494,2.2360,4.1181
40,1,149.7064,157.6413,1.0702,6.3614
41,1,149.7064,157.6413,0.8675,10.9940
42,3,165.1740,168.9123,2.6560,11.0782
43,1,148.8920,150.8970,1.3214,7.6852
44,3,165.1740,159.3204,2.7817,4.2694
45,0,147.6155,149.6460,0.1198,3.6407
46,0,147.6155,149.6460,0.2243,2.0471
47,3,165.1740,168.9123,2.7398,12.5717
48,2,153.9030,157.6413,2.1391,10.2730
49,3,165.1740,168.9123,2.5798,11.6198
50,1,148.8920,159.3204,1.4303,3.2789
51,1,148.8920,150.8970,1.2343,8.2862
52,0,147.6155,149.6460,0.3214,2.7821
53,2,153.9030,157.6413,2.2080,11.2332
54,1,149.7064,148.0494,0.9521,3.5555
55,1,148.8920,150.8970,1.1697,7.2851
56,1,148.8920,150.8970,1.1995,8.4156
57,1,157.8454,149.6460,2.7339,3.0587
58,2,159.0965,150.8970,4.3091,10.2151
59,1,148.8920,150.8970,1.4519,5.2865
60,1,148.8920,150.8970,1.4086,6.4172
61,3,165.1740,168.9123,2.7518,14.5566
62,2,153.9030,157.6413,2.2015,7.2347
63,2,153.9030,157.6413,2.2732,8.5299
64,2,150.9829,168.9123,1.9966,10.6747
65,1,149.7064,157.6413,1.0581,10.2839
66,2,153.9030,157.6413,2.2446,10.5427
67,1,157.8454,150.9183,2.6016,2.9670
68,2,150.9829,168.9123,2.0040,10.5935
69,2,159.0965,150.8970,3.9721,7.4149
70,1,149.7064,157.6413,1.1117,7.2206
71,1,157.8454,148.0494,2.5774,3.2265
72,1,149.7064,157.6413,1.0183,7.8865
73,2,150.9829,168.9123,1.8108,11.2530
74,2,153.9030,157.6413,2.0454,13.8603
75,3,165.1740,168.9123,2.5941,14.5040
76,1,148.8920,159.3204,1.0338,3.0199
77,2,159.0965,159.3204,3.9157,6.1190
78,0,147.6155,149.6460,0.2214,2.8562
79,3,165.1740,159.3204,2.5255,5.4914
80,2,150.9829,168.9123,2.0261,10.5539
81,2,159.0965,159.3340,4.2009,5.7082
82,1,149.7064,157.6413,1.0501,7.2670
83,1,157.8454,151.0681,2.6276,2.5393
84,3,165.1740,168.9123,2.4770,9.9860
85,2,159.0965,159.3204,4.1238,5.2153
86,2,159.0965,150.8970,4.1756,8.6516
87,1,157.8454,150.9183,2.8041,1.4151
88,2,153.9030,157.6413,2.2447,9.0171
89,1,148.8920,150.8970,1.0703,9.0793
90,1,157.8454,148.0494,2.8034,2.3139
91,3,165.1740,168.9123,2.4809,10.9091
92,1,157.8454,148.0494,2.6263,3.6804
93,2,159.0965,159.3204,4.1188,3.7704
94,3,165.1740,159.3204,2.5457,5.5471
95,1,157.8454,151.0681,2.5349,4.3188
96,1,148.8920,150.8970,1.2190,9.1108
97,1,149.7064,157.6413,1.0913,7.6897
98,2,159.0965,150.8970,4.1971,6.8329
99,1,148.8920,150.8970,1.0326,7.1147
100,0,147.6155,149.6460,0.0618,1.9583
101,2,159.0965,151.9967,3.9618,8.7172
102,2,150.9829,162.3391,1.7842,4.0038
103,2,153.9030,157.6413,2.0930,9.0722
104,2,150.9829,168.9123,1.9725,9.3023
105,2,150.9829,168.9123,1.9699,10.0096
106,2,159.0965,150.8970,4.1461,6.9355
107,0,147.6155,149.6460,0.2750,2.0189
108,1,157.8454,149.6460,2.7311,2.8581
109,2,159.0965,152.1693,4.1715,8.9770
110,1,148.8920,152.3623,1.0468,8.5810
111,2,150.9829,168.9123,1.9908,9.0254
112,0,147.6155,148.0494,0.2483,1.1151
113,1,148.8920,150.8970,1.2111,7.3933
114,2,150.9829,159.3204,1.9937,4.8098
115,1,148.8920,150.8970,1.3178,9.8740
116,2,153.9030,148.0494,2.3381,2.7735
117,2,159.0965,150.8970,4.0129,6.7308
118,2,159.0965,150.8970,4.2758,7.0329
119,2,159.0965,159.3204,4.1763,5.6267
120,1,149.7064,157.8265,1.0834,4.4003
121,2,159.0965,150.8970,3.9823,7.7551
122,3,165.1740,168.9123,2.3414,10.5432
123,0,147.6155,150.4899,0.2480,1.4535
124,1,149.7064,157.6413,1.0048,7.2872
125,2,159.0965,151.7409,4.1984,9.4882
126,1,148.8920,159.3204,1.2622,6.1486
127,0,147.6155,151.0638,0.2186,1.6491
128,3,165.1740,168.9123,2.5381,11.6783
129,0,147.6155,149.6460,0.2348,1.3421
130,3,165.1740,170.6579,2.4773,14.5611
131,1,149.7064,157.6413,1.0716,7.0982
132,2,150.9829,156.6968,1.8013,9.2032
133,1,157.8454,149.6460,3.1104,2.8452
134,3,165.1740,159.3204,2.4905,3.0827
135,1,148.8920,152.1693,1.2820,8.3321
136,1,157.8454,149.6460,2.7812,2.2823
137,1,157.8454,149.6460,2.5765,3.0204
138,1,157.8454,148.0494,2.6404,2.7555
139,1,157.8454,151.0638,2.8820,2.3251
140,2,159.0965,150.8970,4.2670,8.5239
141,0,147.6155,148.0494,0.0535,1.2213
142,1,149.7064,157.6413,0.8818,8.6798
143,2,150.9829,159.3204,2.0106,2.9481
144,0,147.6155,148.0494,0.3800,1.8728
145,2,150.9829,159.3204,1.9349,3.6552
146,0,147.6155,149.6460,0.2411,1.6070
147,2,153.9030,157.6413,2.0945,10.4274
148,0,147.6155,151.1113,0.0600,1.7518
149,2,159.0965,150.8970,4.0629,7.0952
150,2,159.0965,152.1693,4.2244,7.0299
151,2,150.9829,168.9123,1.8005,8.6083
152,0,147.6155,149.6460,0.2456,1.1204
